"Date,mousepad"
"Dec 2020,70"
"Jan 2021,61"
"Feb 2021,56"
"Mar 2021,54"
"Apr 2021,51"
"May 2021,49"
"Jun 2021,50"
"Jul 2021,52"
"Aug 2021,48"
"Sep 2021,49"
"Oct 2021,40"
"Nov 2021,49"
"Dec 2021,55"
"Jan 2022,63"
"Feb 2022,55"
"Mar 2022,47"
"Apr 2022,50"
"May 2022,50"
"Jun 2022,55"
"Jul 2022,62"
"Aug 2022,56"
"Sep 2022,49"
"Oct 2022,46"
"Nov 2022,53"
"Dec 2022,63"
"Jan 2023,55"
"Feb 2023,53"
"Mar 2023,49"
"Apr 2023,48"
"May 2023,46"
"Jun 2023,46"
"Jul 2023,55"
"Aug 2023,53"
"Sep 2023,53"
"Oct 2023,50"
"Nov 2023,62"
"Dec 2023,73"
"Jan 2024,60"
"Feb 2024,54"
"Mar 2024,54"
"Apr 2024,53"
"May 2024,55"
"Jun 2024,55"
"Jul 2024,59"
"Aug 2024,61"
"Sep 2024,58"
"Oct 2024,51"
"Nov 2024,66"
"Dec 2024,81"
"Jan 2025,68"
"Feb 2025,59"
"Mar 2025,58"
"Apr 2025,53"
"May 2025,56"
"Jun 2025,59"
"Jul 2025,71"
"Aug 2025,69"
"Sep 2025,62"
"Oct 2025,56"
"Nov 2025,78"