"Date,Poster"
"Dec 2020,68"
"Jan 2021,67"
"Feb 2021,64"
"Mar 2021,61"
"Apr 2021,63"
"May 2021,61"
"Jun 2021,66"
"Jul 2021,66"
"Aug 2021,74"
"Sep 2021,75"
"Oct 2021,70"
"Nov 2021,76"
"Dec 2021,71"
"Jan 2022,74"
"Feb 2022,79"
"Mar 2022,79"
"Apr 2022,84"
"May 2022,80"
"Jun 2022,73"
"Jul 2022,78"
"Aug 2022,90"
"Sep 2022,90"
"Oct 2022,89"
"Nov 2022,82"
"Dec 2022,79"
"Jan 2023,80"
"Feb 2023,83"
"Mar 2023,85"
"Apr 2023,85"
"May 2023,84"
"Jun 2023,76"
"Jul 2023,75"
"Aug 2023,86"
"Sep 2023,92"
"Oct 2023,90"
"Nov 2023,86"
"Dec 2023,84"
"Jan 2024,82"
"Feb 2024,90"
"Mar 2024,83"
"Apr 2024,92"
"May 2024,82"
"Jun 2024,69"
"Jul 2024,75"
"Aug 2024,92"
"Sep 2024,94"
"Oct 2024,96"
"Nov 2024,88"
"Dec 2024,87"
"Jan 2025,83"
"Feb 2025,90"
"Mar 2025,91"
"Apr 2025,93"
"May 2025,87"
"Jun 2025,79"
"Jul 2025,90"
"Aug 2025,99"
"Sep 2025,99"
"Oct 2025,99"
"Nov 2025,91"