"Date,stickers"
"Dec 2020,81"
"Jan 2021,87"
"Feb 2021,78"
"Mar 2021,81"
"Apr 2021,84"
"May 2021,79"
"Jun 2021,78"
"Jul 2021,82"
"Aug 2021,85"
"Sep 2021,75"
"Oct 2021,78"
"Nov 2021,83"
"Dec 2021,77"
"Jan 2022,86"
"Feb 2022,83"
"Mar 2022,88"
"Apr 2022,84"
"May 2022,81"
"Jun 2022,83"
"Jul 2022,83"
"Aug 2022,87"
"Sep 2022,82"
"Oct 2022,80"
"Nov 2022,75"
"Dec 2022,77"
"Jan 2023,80"
"Feb 2023,78"
"Mar 2023,79"
"Apr 2023,77"
"May 2023,80"
"Jun 2023,81"
"Jul 2023,83"
"Aug 2023,84"
"Sep 2023,82"
"Oct 2023,78"
"Nov 2023,76"
"Dec 2023,85"
"Jan 2024,79"
"Feb 2024,80"
"Mar 2024,81"
"Apr 2024,77"
"May 2024,82"
"Jun 2024,86"
"Jul 2024,85"
"Aug 2024,88"
"Sep 2024,86"
"Oct 2024,86"
"Nov 2024,83"
"Dec 2024,84"
"Jan 2025,83"
"Feb 2025,82"
"Mar 2025,86"
"Apr 2025,82"
"May 2025,87"
"Jun 2025,90"
"Jul 2025,99"
"Aug 2025,100"
"Sep 2025,93"
"Oct 2025,93"
"Nov 2025,86"