"Date,t-shirt"
"Dec 2020,57"
"Jan 2021,48"
"Feb 2021,52"
"Mar 2021,54"
"Apr 2021,63"
"May 2021,65"
"Jun 2021,71"
"Jul 2021,67"
"Aug 2021,71"
"Sep 2021,66"
"Oct 2021,65"
"Nov 2021,67"
"Dec 2021,63"
"Jan 2022,57"
"Feb 2022,63"
"Mar 2022,70"
"Apr 2022,72"
"May 2022,77"
"Jun 2022,83"
"Jul 2022,82"
"Aug 2022,83"
"Sep 2022,72"
"Oct 2022,70"
"Nov 2022,66"
"Dec 2022,65"
"Jan 2023,55"
"Feb 2023,59"
"Mar 2023,62"
"Apr 2023,69"
"May 2023,72"
"Jun 2023,75"
"Jul 2023,78"
"Aug 2023,79"
"Sep 2023,73"
"Oct 2023,70"
"Nov 2023,68"
"Dec 2023,69"
"Jan 2024,60"
"Feb 2024,63"
"Mar 2024,68"
"Apr 2024,70"
"May 2024,77"
"Jun 2024,85"
"Jul 2024,85"
"Aug 2024,88"
"Sep 2024,82"
"Oct 2024,77"
"Nov 2024,76"
"Dec 2024,76"
"Jan 2025,58"
"Feb 2025,68"
"Mar 2025,68"
"Apr 2025,74"
"May 2025,76"
"Jun 2025,85"
"Jul 2025,100"
"Aug 2025,86"
"Sep 2025,77"
"Oct 2025,69"
"Nov 2025,76"