Date,shirt,hat,tote bag,canvas print,poster,sticker,hoodie,mug,socks,blanket,calendar,backpack,phone case,mousepad,keychain
0,"Dec 2020,57Dec 2020,66","Dec 2020,72Dec 2020,61","Dec 2020,27Dec 2020,53","Dec 2020,64Dec 2020,90","Dec 2020,68Dec 2020,84","Dec 2020,81Dec 2020,58","Dec 2020,55","Dec 2020,97","Dec 2020,67","Dec 2020,92","Dec 2020,45","Dec 2020,30","Dec 2020,87","Dec 2020,70","Dec 2020,59"
1,"Jan 2021,48Jan 2021,58","Jan 2021,57Jan 2021,62","Jan 2021,22Jan 2021,44","Jan 2021,70Jan 2021,70","Jan 2021,67Jan 2021,100","Jan 2021,87Jan 2021,65","Jan 2021,35","Jan 2021,60","Jan 2021,39","Jan 2021,54","Jan 2021,43","Jan 2021,26","Jan 2021,69","Jan 2021,61","Jan 2021,45"
2,"Feb 2021,52Feb 2021,59","Feb 2021,56Feb 2021,68","Feb 2021,22Feb 2021,41","Feb 2021,75Feb 2021,71","Feb 2021,64Feb 2021,87","Feb 2021,78Feb 2021,59","Feb 2021,30","Feb 2021,58","Feb 2021,37","Feb 2021,49","Feb 2021,40","Feb 2021,24","Feb 2021,58","Feb 2021,56","Feb 2021,44"
3,"Mar 2021,54Mar 2021,64","Mar 2021,59Mar 2021,66","Mar 2021,25Mar 2021,45","Mar 2021,72Mar 2021,60","Mar 2021,61Mar 2021,80","Mar 2021,81Mar 2021,67","Mar 2021,27","Mar 2021,53","Mar 2021,35","Mar 2021,37","Mar 2021,43","Mar 2021,29","Mar 2021,66","Mar 2021,54","Mar 2021,44"
4,"Apr 2021,63Apr 2021,69","Apr 2021,61Apr 2021,72","Apr 2021,28Apr 2021,51","Apr 2021,68Apr 2021,60","Apr 2021,63Apr 2021,79","Apr 2021,84Apr 2021,66","Apr 2021,23","Apr 2021,50","Apr 2021,34","Apr 2021,34","Apr 2021,39","Apr 2021,30","Apr 2021,66","Apr 2021,51","Apr 2021,46"
5,"May 2021,65May 2021,72","May 2021,66May 2021,76","May 2021,32May 2021,53","May 2021,57May 2021,63","May 2021,61May 2021,75","May 2021,79May 2021,66","May 2021,21","May 2021,51","May 2021,34","May 2021,34","May 2021,36","May 2021,31","May 2021,62","May 2021,49","May 2021,47"
6,"Jun 2021,71Jun 2021,78","Jun 2021,69Jun 2021,70","Jun 2021,35Jun 2021,53","Jun 2021,44Jun 2021,58","Jun 2021,66Jun 2021,72","Jun 2021,78Jun 2021,65","Jun 2021,17","Jun 2021,46","Jun 2021,33","Jun 2021,31","Jun 2021,38","Jun 2021,35","Jun 2021,64","Jun 2021,50","Jun 2021,44"
7,"Jul 2021,67Jul 2021,76","Jul 2021,63Jul 2021,69","Jul 2021,38Jul 2021,55","Jul 2021,39Jul 2021,55","Jul 2021,66Jul 2021,76","Jul 2021,82Jul 2021,66","Jul 2021,19","Jul 2021,43","Jul 2021,35","Jul 2021,33","Jul 2021,38","Jul 2021,54","Jul 2021,66","Jul 2021,52","Jul 2021,48"
8,"Aug 2021,71Aug 2021,80","Aug 2021,62Aug 2021,62","Aug 2021,44Aug 2021,55","Aug 2021,66Aug 2021,61","Aug 2021,74Aug 2021,83","Aug 2021,85Aug 2021,69","Aug 2021,24","Aug 2021,47","Aug 2021,36","Aug 2021,34","Aug 2021,45","Aug 2021,65","Aug 2021,64","Aug 2021,48","Aug 2021,50"
9,"Sep 2021,66Sep 2021,82","Sep 2021,61Sep 2021,61","Sep 2021,43Sep 2021,50","Sep 2021,89Sep 2021,61","Sep 2021,75Sep 2021,79","Sep 2021,75Sep 2021,63","Sep 2021,31","Sep 2021,46","Sep 2021,36","Sep 2021,37","Sep 2021,43","Sep 2021,36","Sep 2021,64","Sep 2021,49","Sep 2021,44"
10,"Oct 2021,65Oct 2021,85","Oct 2021,72Oct 2021,65","Oct 2021,37Oct 2021,51","Oct 2021,72Oct 2021,62","Oct 2021,70Oct 2021,72","Oct 2021,78Oct 2021,58","Oct 2021,41","Oct 2021,50","Oct 2021,42","Oct 2021,47","Oct 2021,47","Oct 2021,32","Oct 2021,65","Oct 2021,40","Oct 2021,42"
11,"Nov 2021,67Nov 2021,82","Nov 2021,75Nov 2021,66","Nov 2021,49Nov 2021,59","Nov 2021,65Nov 2021,75","Nov 2021,76Nov 2021,83","Nov 2021,83Nov 2021,60","Nov 2021,59","Nov 2021,71","Nov 2021,61","Nov 2021,72","Nov 2021,55","Nov 2021,38","Nov 2021,75","Nov 2021,49","Nov 2021,58"
12,"Dec 2021,63Dec 2021,79","Dec 2021,81Dec 2021,61","Dec 2021,59Dec 2021,61","Dec 2021,54Dec 2021,74","Dec 2021,71Dec 2021,73","Dec 2021,77Dec 2021,59","Dec 2021,61","Dec 2021,92","Dec 2021,67","Dec 2021,78","Dec 2021,52","Dec 2021,36","Dec 2021,81","Dec 2021,55","Dec 2021,64"
13,"Jan 2022,57Jan 2022,63","Jan 2022,66Jan 2022,69","Jan 2022,53Jan 2022,56","Jan 2022,71Jan 2022,67","Jan 2022,74Jan 2022,90","Jan 2022,86Jan 2022,69","Jan 2022,42","Jan 2022,65","Jan 2022,45","Jan 2022,58","Jan 2022,61","Jan 2022,34","Jan 2022,74","Jan 2022,63","Jan 2022,49"
14,"Feb 2022,63Feb 2022,68","Feb 2022,66Feb 2022,69","Feb 2022,59Feb 2022,56","Feb 2022,74Feb 2022,69","Feb 2022,79Feb 2022,84","Feb 2022,83Feb 2022,67","Feb 2022,36","Feb 2022,56","Feb 2022,40","Feb 2022,46","Feb 2022,57","Feb 2022,35","Feb 2022,72","Feb 2022,55","Feb 2022,51"
15,"Mar 2022,70Mar 2022,75","Mar 2022,68Mar 2022,75","Mar 2022,62Mar 2022,59","Mar 2022,69Mar 2022,58","Mar 2022,79Mar 2022,79","Mar 2022,88Mar 2022,71","Mar 2022,30","Mar 2022,54","Mar 2022,40","Mar 2022,39","Mar 2022,52","Mar 2022,37","Mar 2022,69","Mar 2022,47","Mar 2022,50"
16,"Apr 2022,72Apr 2022,75","Apr 2022,72Apr 2022,74","Apr 2022,67Apr 2022,60","Apr 2022,77Apr 2022,64","Apr 2022,84Apr 2022,69","Apr 2022,84Apr 2022,72","Apr 2022,27","Apr 2022,55","Apr 2022,38","Apr 2022,33","Apr 2022,54","Apr 2022,37","Apr 2022,66","Apr 2022,50","Apr 2022,48"
17,"May 2022,77May 2022,80","May 2022,74May 2022,77","May 2022,65May 2022,62","May 2022,67May 2022,66","May 2022,80May 2022,67","May 2022,81May 2022,72","May 2022,22","May 2022,51","May 2022,36","May 2022,34","May 2022,51","May 2022,43","May 2022,65","May 2022,50","May 2022,50"
18,"Jun 2022,83Jun 2022,89","Jun 2022,72Jun 2022,74","Jun 2022,64Jun 2022,60","Jun 2022,49Jun 2022,63","Jun 2022,73Jun 2022,66","Jun 2022,83Jun 2022,70","Jun 2022,19","Jun 2022,49","Jun 2022,40","Jun 2022,33","Jun 2022,45","Jun 2022,47","Jun 2022,70","Jun 2022,55","Jun 2022,49"
19,"Jul 2022,82Jul 2022,86","Jul 2022,69Jul 2022,66","Jul 2022,70Jul 2022,67","Jul 2022,44Jul 2022,61","Jul 2022,78Jul 2022,77","Jul 2022,83Jul 2022,73","Jul 2022,20","Jul 2022,47","Jul 2022,38","Jul 2022,37","Jul 2022,48","Jul 2022,65","Jul 2022,70","Jul 2022,62","Jul 2022,49"
20,"Aug 2022,83Aug 2022,86","Aug 2022,69Aug 2022,70","Aug 2022,76Aug 2022,66","Aug 2022,81Aug 2022,65","Aug 2022,90Aug 2022,78","Aug 2022,87Aug 2022,73","Aug 2022,25","Aug 2022,51","Aug 2022,41","Aug 2022,36","Aug 2022,61","Aug 2022,77","Aug 2022,66","Aug 2022,56","Aug 2022,52"
21,"Sep 2022,72Sep 2022,85","Sep 2022,66Sep 2022,60","Sep 2022,66Sep 2022,59","Sep 2022,100Sep 2022,61","Sep 2022,90Sep 2022,69","Sep 2022,82Sep 2022,67","Sep 2022,32","Sep 2022,50","Sep 2022,36","Sep 2022,38","Sep 2022,57","Sep 2022,40","Sep 2022,62","Sep 2022,49","Sep 2022,48"
22,"Oct 2022,70Oct 2022,86","Oct 2022,80Oct 2022,66","Oct 2022,61Oct 2022,58","Oct 2022,87Oct 2022,63","Oct 2022,89Oct 2022,65","Oct 2022,80Oct 2022,64","Oct 2022,45","Oct 2022,52","Oct 2022,45","Oct 2022,49","Oct 2022,61","Oct 2022,35","Oct 2022,61","Oct 2022,46","Oct 2022,45"
23,"Nov 2022,66Nov 2022,75","Nov 2022,73Nov 2022,59","Nov 2022,74Nov 2022,65","Nov 2022,75Nov 2022,69","Nov 2022,82Nov 2022,72","Nov 2022,75Nov 2022,61","Nov 2022,55","Nov 2022,70","Nov 2022,62","Nov 2022,68","Nov 2022,69","Nov 2022,38","Nov 2022,69","Nov 2022,53","Nov 2022,50"
24,"Dec 2022,65Dec 2022,78","Dec 2022,85Dec 2022,61","Dec 2022,97Dec 2022,72","Dec 2022,61Dec 2022,77","Dec 2022,79Dec 2022,69","Dec 2022,77Dec 2022,66","Dec 2022,66","Dec 2022,89","Dec 2022,78","Dec 2022,85","Dec 2022,65","Dec 2022,38","Dec 2022,79","Dec 2022,63","Dec 2022,62"
25,"Jan 2023,55Jan 2023,64","Jan 2023,60Jan 2023,64","Jan 2023,76Jan 2023,62","Jan 2023,70Jan 2023,66","Jan 2023,80Jan 2023,81","Jan 2023,80Jan 2023,63","Jan 2023,43","Jan 2023,58","Jan 2023,41","Jan 2023,47","Jan 2023,71","Jan 2023,35","Jan 2023,66","Jan 2023,55","Jan 2023,49"
26,"Feb 2023,59Feb 2023,71","Feb 2023,69Feb 2023,68","Feb 2023,73Feb 2023,60","Feb 2023,80Feb 2023,64","Feb 2023,83Feb 2023,74","Feb 2023,78Feb 2023,68","Feb 2023,39","Feb 2023,54","Feb 2023,40","Feb 2023,43","Feb 2023,62","Feb 2023,35","Feb 2023,64","Feb 2023,53","Feb 2023,49"
27,"Mar 2023,62Mar 2023,72","Mar 2023,69Mar 2023,75","Mar 2023,74Mar 2023,61","Mar 2023,66Mar 2023,59","Mar 2023,85Mar 2023,72","Mar 2023,79Mar 2023,73","Mar 2023,35","Mar 2023,52","Mar 2023,38","Mar 2023,38","Mar 2023,59","Mar 2023,38","Mar 2023,61","Mar 2023,49","Mar 2023,46"
28,"Apr 2023,69Apr 2023,80","Apr 2023,70Apr 2023,71","Apr 2023,70Apr 2023,63","Apr 2023,66Apr 2023,68","Apr 2023,85Apr 2023,68","Apr 2023,77Apr 2023,72","Apr 2023,30","Apr 2023,54","Apr 2023,38","Apr 2023,35","Apr 2023,54","Apr 2023,38","Apr 2023,58","Apr 2023,48","Apr 2023,49"
29,"May 2023,72May 2023,84","May 2023,72May 2023,83","May 2023,75May 2023,65","May 2023,58May 2023,64","May 2023,84May 2023,62","May 2023,80May 2023,73","May 2023,25","May 2023,50","May 2023,36","May 2023,34","May 2023,51","May 2023,40","May 2023,56","May 2023,46","May 2023,52"
30,"Jun 2023,75Jun 2023,92","Jun 2023,75Jun 2023,72","Jun 2023,73Jun 2023,72","Jun 2023,46Jun 2023,61","Jun 2023,76Jun 2023,68","Jun 2023,81Jun 2023,73","Jun 2023,23","Jun 2023,50","Jun 2023,38","Jun 2023,36","Jun 2023,46","Jun 2023,43","Jun 2023,65","Jun 2023,46","Jun 2023,51"
31,"Jul 2023,78Jul 2023,95","Jul 2023,71Jul 2023,68","Jul 2023,73Jul 2023,71","Jul 2023,42Jul 2023,64","Jul 2023,75Jul 2023,76","Jul 2023,83Jul 2023,76","Jul 2023,27","Jul 2023,47","Jul 2023,36","Jul 2023,38","Jul 2023,48","Jul 2023,67","Jul 2023,63","Jul 2023,55","Jul 2023,49"
32,"Aug 2023,79Aug 2023,90","Aug 2023,64Aug 2023,66","Aug 2023,71Aug 2023,67","Aug 2023,76Aug 2023,66","Aug 2023,86Aug 2023,73","Aug 2023,84Aug 2023,76","Aug 2023,31","Aug 2023,93","Aug 2023,40","Aug 2023,40","Aug 2023,57","Aug 2023,70","Aug 2023,63","Aug 2023,53","Aug 2023,53"
33,"Sep 2023,73Sep 2023,85","Sep 2023,72Sep 2023,63","Sep 2023,67Sep 2023,62","Sep 2023,90Sep 2023,63","Sep 2023,92Sep 2023,68","Sep 2023,82Sep 2023,71","Sep 2023,38","Sep 2023,56","Sep 2023,41","Sep 2023,43","Sep 2023,54","Sep 2023,41","Sep 2023,63","Sep 2023,53","Sep 2023,48"
34,"Oct 2023,70Oct 2023,89","Oct 2023,83Oct 2023,65","Oct 2023,58Oct 2023,61","Oct 2023,86Oct 2023,63","Oct 2023,90Oct 2023,65","Oct 2023,78Oct 2023,68","Oct 2023,49","Oct 2023,56","Oct 2023,46","Oct 2023,50","Oct 2023,59","Oct 2023,36","Oct 2023,60","Oct 2023,50","Oct 2023,47"
35,"Nov 2023,68Nov 2023,76","Nov 2023,76Nov 2023,62","Nov 2023,75Nov 2023,73","Nov 2023,70Nov 2023,75","Nov 2023,86Nov 2023,75","Nov 2023,76Nov 2023,69","Nov 2023,70","Nov 2023,70","Nov 2023,66","Nov 2023,73","Nov 2023,68","Nov 2023,41","Nov 2023,70","Nov 2023,62","Nov 2023,56"
36,"Dec 2023,69Dec 2023,81","Dec 2023,85Dec 2023,67","Dec 2023,86Dec 2023,79","Dec 2023,58Dec 2023,87","Dec 2023,84Dec 2023,68","Dec 2023,85Dec 2023,67","Dec 2023,75","Dec 2023,100","Dec 2023,75","Dec 2023,82","Dec 2023,62","Dec 2023,40","Dec 2023,75","Dec 2023,73","Dec 2023,66"
37,"Jan 2024,60Jan 2024,64","Jan 2024,62Jan 2024,68","Jan 2024,66Jan 2024,62","Jan 2024,71Jan 2024,68","Jan 2024,82Jan 2024,75","Jan 2024,79Jan 2024,70","Jan 2024,51","Jan 2024,65","Jan 2024,45","Jan 2024,58","Jan 2024,68","Jan 2024,34","Jan 2024,65","Jan 2024,60","Jan 2024,53"
38,"Feb 2024,63Feb 2024,77","Feb 2024,67Feb 2024,75","Feb 2024,64Feb 2024,65","Feb 2024,78Feb 2024,69","Feb 2024,90Feb 2024,66","Feb 2024,80Feb 2024,78","Feb 2024,45","Feb 2024,56","Feb 2024,39","Feb 2024,43","Feb 2024,60","Feb 2024,36","Feb 2024,66","Feb 2024,54","Feb 2024,48"
39,"Mar 2024,68Mar 2024,76","Mar 2024,71Mar 2024,81","Mar 2024,67Mar 2024,67","Mar 2024,65Mar 2024,58","Mar 2024,83Mar 2024,70","Mar 2024,81Mar 2024,78","Mar 2024,38","Mar 2024,50","Mar 2024,40","Mar 2024,40","Mar 2024,56","Mar 2024,36","Mar 2024,59","Mar 2024,54","Mar 2024,48"
40,"Apr 2024,70Apr 2024,79","Apr 2024,74Apr 2024,77","Apr 2024,62Apr 2024,69","Apr 2024,68Apr 2024,63","Apr 2024,92Apr 2024,68","Apr 2024,77Apr 2024,78","Apr 2024,32","Apr 2024,51","Apr 2024,38","Apr 2024,37","Apr 2024,51","Apr 2024,37","Apr 2024,57","Apr 2024,53","Apr 2024,50"
41,"May 2024,77May 2024,87","May 2024,78May 2024,79","May 2024,67May 2024,73","May 2024,56May 2024,67","May 2024,82May 2024,62","May 2024,82May 2024,76","May 2024,26","May 2024,50","May 2024,40","May 2024,38","May 2024,49","May 2024,40","May 2024,59","May 2024,55","May 2024,50"
42,"Jun 2024,85Jun 2024,100","Jun 2024,79Jun 2024,77","Jun 2024,69Jun 2024,75","Jun 2024,41Jun 2024,61","Jun 2024,69Jun 2024,68","Jun 2024,86Jun 2024,82","Jun 2024,24","Jun 2024,51","Jun 2024,38","Jun 2024,38","Jun 2024,42","Jun 2024,46","Jun 2024,66","Jun 2024,55","Jun 2024,51"
43,"Jul 2024,85Jul 2024,94","Jul 2024,73Jul 2024,74","Jul 2024,71Jul 2024,78","Jul 2024,40Jul 2024,60","Jul 2024,75Jul 2024,72","Jul 2024,85Jul 2024,86","Jul 2024,26","Jul 2024,46","Jul 2024,39","Jul 2024,41","Jul 2024,48","Jul 2024,78","Jul 2024,65","Jul 2024,59","Jul 2024,57"
44,"Aug 2024,88Aug 2024,97","Aug 2024,73Aug 2024,74","Aug 2024,79Aug 2024,75","Aug 2024,78Aug 2024,74","Aug 2024,92Aug 2024,79","Aug 2024,88Aug 2024,85","Aug 2024,33","Aug 2024,49","Aug 2024,42","Aug 2024,44","Aug 2024,59","Aug 2024,79","Aug 2024,65","Aug 2024,61","Aug 2024,60"
45,"Sep 2024,82Sep 2024,90","Sep 2024,76Sep 2024,69","Sep 2024,69Sep 2024,71","Sep 2024,93Sep 2024,64","Sep 2024,94Sep 2024,73","Sep 2024,86Sep 2024,77","Sep 2024,41","Sep 2024,53","Sep 2024,40","Sep 2024,42","Sep 2024,55","Sep 2024,42","Sep 2024,68","Sep 2024,58","Sep 2024,57"
46,"Oct 2024,77Oct 2024,90","Oct 2024,87Oct 2024,72","Oct 2024,61Oct 2024,68","Oct 2024,81Oct 2024,60","Oct 2024,96Oct 2024,64","Oct 2024,86Oct 2024,81","Oct 2024,53","Oct 2024,54","Oct 2024,45","Oct 2024,49","Oct 2024,60","Oct 2024,36","Oct 2024,63","Oct 2024,51","Oct 2024,60"
47,"Nov 2024,76Nov 2024,80","Nov 2024,86Nov 2024,73","Nov 2024,74Nov 2024,79","Nov 2024,73Nov 2024,69","Nov 2024,88Nov 2024,80","Nov 2024,83Nov 2024,83","Nov 2024,80","Nov 2024,73","Nov 2024,62","Nov 2024,69","Nov 2024,70","Nov 2024,39","Nov 2024,79","Nov 2024,66","Nov 2024,72"
48,"Dec 2024,76Dec 2024,85","Dec 2024,95Dec 2024,76","Dec 2024,89Dec 2024,93","Dec 2024,64Dec 2024,85","Dec 2024,87Dec 2024,79","Dec 2024,84Dec 2024,79","Dec 2024,93","Dec 2024,100","Dec 2024,80","Dec 2024,89","Dec 2024,66","Dec 2024,44","Dec 2024,91","Dec 2024,81","Dec 2024,89"
49,"Jan 2025,58Jan 2025,65","Jan 2025,74Jan 2025,75","Jan 2025,67Jan 2025,74","Jan 2025,71Jan 2025,68","Jan 2025,83Jan 2025,82","Jan 2025,83Jan 2025,81","Jan 2025,57","Jan 2025,62","Jan 2025,45","Jan 2025,62","Jan 2025,68","Jan 2025,34","Jan 2025,70","Jan 2025,68","Jan 2025,67"
50,"Feb 2025,68Feb 2025,73","Feb 2025,73Feb 2025,78","Feb 2025,62Feb 2025,70","Feb 2025,76Feb 2025,70","Feb 2025,90Feb 2025,76","Feb 2025,82Feb 2025,80","Feb 2025,50","Feb 2025,54","Feb 2025,41","Feb 2025,47","Feb 2025,58","Feb 2025,34","Feb 2025,67","Feb 2025,59","Feb 2025,67"
51,"Mar 2025,68Mar 2025,81","Mar 2025,77Mar 2025,76","Mar 2025,64Mar 2025,73","Mar 2025,64Mar 2025,63","Mar 2025,91Mar 2025,71","Mar 2025,86Mar 2025,84","Mar 2025,39","Mar 2025,49","Mar 2025,42","Mar 2025,40","Mar 2025,55","Mar 2025,38","Mar 2025,68","Mar 2025,58","Mar 2025,69"
52,"Apr 2025,74Apr 2025,83","Apr 2025,80Apr 2025,78","Apr 2025,74Apr 2025,75","Apr 2025,69Apr 2025,61","Apr 2025,93Apr 2025,70","Apr 2025,82Apr 2025,84","Apr 2025,35","Apr 2025,52","Apr 2025,39","Apr 2025,37","Apr 2025,52","Apr 2025,38","Apr 2025,66","Apr 2025,53","Apr 2025,69"
53,"May 2025,76May 2025,88","May 2025,83May 2025,89","May 2025,73May 2025,83","May 2025,58May 2025,64","May 2025,87May 2025,69","May 2025,87May 2025,86","May 2025,29","May 2025,51","May 2025,40","May 2025,38","May 2025,49","May 2025,42","May 2025,67","May 2025,56","May 2025,72"
54,"Jun 2025,85Jun 2025,96","Jun 2025,84Jun 2025,84","Jun 2025,72Jun 2025,83","Jun 2025,44Jun 2025,64","Jun 2025,79Jun 2025,73","Jun 2025,90Jun 2025,89","Jun 2025,26","Jun 2025,50","Jun 2025,42","Jun 2025,36","Jun 2025,44","Jun 2025,52","Jun 2025,71","Jun 2025,59","Jun 2025,77"
55,"Jul 2025,100Jul 2025,99","Jul 2025,88Jul 2025,100","Jul 2025,89Jul 2025,92","Jul 2025,44Jul 2025,70","Jul 2025,90Jul 2025,81","Jul 2025,99Jul 2025,96","Jul 2025,32","Jul 2025,53","Jul 2025,44","Jul 2025,42","Jul 2025,56","Jul 2025,100","Jul 2025,90","Jul 2025,71","Jul 2025,89"
56,"Aug 2025,86Aug 2025,100","Aug 2025,87Aug 2025,90","Aug 2025,90Aug 2025,89","Aug 2025,80Aug 2025,71","Aug 2025,99Aug 2025,79","Aug 2025,100Aug 2025,100","Aug 2025,36","Aug 2025,51","Aug 2025,47","Aug 2025,44","Aug 2025,62","Aug 2025,91","Aug 2025,74","Aug 2025,69","Aug 2025,90"
57,"Sep 2025,77Sep 2025,95","Sep 2025,79Sep 2025,83","Sep 2025,65Sep 2025,77","Sep 2025,96Sep 2025,68","Sep 2025,99Sep 2025,69","Sep 2025,93Sep 2025,87","Sep 2025,40","Sep 2025,50","Sep 2025,43","Sep 2025,43","Sep 2025,59","Sep 2025,46","Sep 2025,80","Sep 2025,62","Sep 2025,73"
58,"Oct 2025,69Oct 2025,93","Oct 2025,91Oct 2025,80","Oct 2025,60Oct 2025,73","Oct 2025,92Oct 2025,64","Oct 2025,99Oct 2025,70","Oct 2025,93Oct 2025,87","Oct 2025,52","Oct 2025,54","Oct 2025,50","Oct 2025,52","Oct 2025,63","Oct 2025,36","Oct 2025,76","Oct 2025,56","Oct 2025,67"
59,"Nov 2025,76Nov 2025,81","Nov 2025,88Nov 2025,84","Nov 2025,83Nov 2025,90","Nov 2025,72Nov 2025,83","Nov 2025,91Nov 2025,84","Nov 2025,86Nov 2025,85","Nov 2025,77","Nov 2025,76","Nov 2025,67","Nov 2025,81","Nov 2025,73","Nov 2025,43","Nov 2025,94","Nov 2025,78","Nov 2025,87"
